LogFile Data Coherent Correlation Imaging:

---------------------------- Header -----------------------------------
Image Format Holograms: [960,972]
Image Format Reference-filtered : [960,972]
Image Format Flattened Holograms: [70,70]
Image Format Correlation matrix: [28800,28800]
Format: Float64
---------------------------- Data -----------------------------------
Frame_Nr:	 Timestamp:	 Helicitiy:	 State:	 Mode:	 Topography-Nr:	 Translation_y:	 Translation_x:	 FileName:
213	 253.729	 1	 1	 1-1	 2	 -0.003	 -0.007	 00213.bin	
214	 254.117	 1	 1	 1-1	 2	 -0.015	 -0.009	 00214.bin	
215	 254.503	 1	 1	 1-1	 2	 0.017	 0.003	 00215.bin	
216	 254.889	 1	 1	 1-1	 2	 -0.014	 -0.013	 00216.bin	
217	 255.277	 1	 1	 1-1	 2	 -0.018	 -0.015	 00217.bin	
218	 255.664	 1	 1	 1-1	 2	 0.009	 -0.007	 00218.bin	
219	 256.051	 1	 1	 1-1	 2	 -0.007	 -0.004	 00219.bin	
220	 256.438	 1	 1	 1-1	 2	 0.005	 0.002	 00220.bin	
221	 256.826	 1	 1	 1-1	 2	 0.003	 0.006	 00221.bin	
222	 257.212	 1	 1	 1-1	 2	 -0.001	 0.000	 00222.bin	
223	 257.599	 1	 1	 1-1	 2	 0.006	 0.001	 00223.bin	
224	 257.986	 1	 1	 1-1	 2	 -0.002	 -0.007	 00224.bin	
225	 258.373	 1	 1	 1-1	 2	 0.025	 -0.011	 00225.bin	
226	 258.760	 1	 1	 1-1	 2	 -0.012	 -0.009	 00226.bin	
227	 259.147	 1	 1	 1-1	 2	 -0.004	 -0.009	 00227.bin	
228	 259.534	 1	 1	 1-1	 2	 -0.001	 -0.006	 00228.bin	
229	 259.921	 1	 1	 1-1	 2	 0.008	 -0.004	 00229.bin	
230	 260.308	 1	 1	 1-1	 2	 -0.000	 0.010	 00230.bin	
231	 260.695	 1	 1	 1-1	 2	 -0.004	 0.003	 00231.bin	
232	 261.082	 1	 1	 1-1	 2	 -0.011	 -0.000	 00232.bin	
233	 261.469	 1	 1	 1-1	 2	 0.003	 -0.008	 00233.bin	
234	 261.856	 1	 1	 1-1	 2	 -0.012	 -0.006	 00234.bin	
235	 262.243	 1	 1	 1-1	 2	 -0.008	 0.000	 00235.bin	
236	 262.631	 1	 1	 1-1	 2	 0.003	 -0.010	 00236.bin	
237	 263.017	 1	 1	 1-1	 2	 -0.002	 0.006	 00237.bin	
238	 263.404	 1	 1	 1-1	 2	 -0.017	 -0.014	 00238.bin	
239	 263.791	 1	 1	 1-1	 2	 -0.005	 -0.015	 00239.bin	
240	 264.178	 1	 1	 1-1	 2	 0.022	 -0.004	 00240.bin	
241	 264.565	 1	 1	 1-1	 2	 -0.012	 -0.004	 00241.bin	
242	 264.952	 1	 1	 1-1	 2	 -0.013	 0.000	 00242.bin	
243	 265.339	 1	 1	 1-1	 2	 0.004	 -0.013	 00243.bin	
244	 265.726	 1	 1	 1-1	 2	 -0.027	 -0.014	 00244.bin	
245	 266.113	 1	 1	 1-1	 2	 -0.022	 -0.007	 00245.bin	
246	 266.500	 1	 1	 1-1	 2	 -0.002	 0.000	 00246.bin	
247	 266.887	 1	 1	 1-1	 2	 -0.017	 -0.003	 00247.bin	
248	 267.274	 1	 1	 1-1	 2	 -0.011	 -0.008	 00248.bin	
249	 267.661	 1	 1	 1-1	 2	 -0.019	 -0.005	 00249.bin	
250	 268.048	 1	 1	 1-1	 2	 -0.009	 0.002	 00250.bin	
251	 268.435	 1	 1	 1-1	 2	 -0.009	 0.001	 00251.bin	
252	 268.822	 1	 1	 1-1	 2	 -0.017	 0.005	 00252.bin	
253	 269.208	 1	 1	 1-1	 2	 -0.017	 -0.010	 00253.bin	
254	 269.596	 1	 1	 1-1	 2	 -0.008	 -0.007	 00254.bin	
255	 269.983	 1	 1	 1-1	 2	 0.003	 -0.013	 00255.bin	
256	 270.370	 1	 1	 1-1	 2	 -0.014	 -0.015	 00256.bin	
257	 270.757	 1	 1	 1-1	 2	 -0.007	 -0.025	 00257.bin	
258	 271.144	 1	 1	 1-1	 2	 -0.007	 -0.013	 00258.bin	
259	 271.531	 1	 1	 1-1	 2	 -0.006	 -0.019	 00259.bin	
260	 271.918	 1	 1	 1-1	 2	 -0.016	 -0.013	 00260.bin	
261	 272.305	 1	 1	 1-1	 2	 -0.018	 -0.014	 00261.bin	
262	 272.692	 1	 1	 1-1	 2	 0.003	 -0.013	 00262.bin	
263	 273.079	 1	 1	 1-1	 2	 0.008	 0.000	 00263.bin	
264	 273.466	 1	 1	 1-1	 2	 -0.003	 -0.002	 00264.bin	
265	 273.853	 1	 1	 1-1	 2	 -0.006	 -0.012	 00265.bin	
266	 274.240	 1	 1	 1-1	 2	 -0.002	 -0.006	 00266.bin	
267	 274.627	 1	 1	 1-1	 2	 0.009	 -0.009	 00267.bin	
268	 275.014	 1	 1	 1-1	 2	 0.003	 -0.015	 00268.bin	
269	 275.401	 1	 1	 1-1	 2	 -0.010	 -0.006	 00269.bin	
270	 275.788	 1	 1	 1-1	 2	 0.004	 -0.006	 00270.bin	
271	 276.175	 1	 1	 1-1	 2	 -0.013	 -0.010	 00271.bin	
272	 276.562	 1	 1	 1-1	 2	 -0.011	 -0.018	 00272.bin	
273	 276.948	 1	 1	 1-1	 2	 -0.006	 -0.014	 00273.bin	
274	 277.334	 1	 1	 1-1	 2	 0.008	 -0.014	 00274.bin	
275	 277.722	 1	 1	 1-1	 2	 0.003	 -0.017	 00275.bin	
276	 278.110	 1	 1	 1-1	 2	 -0.008	 -0.009	 00276.bin	
277	 278.497	 1	 1	 1-1	 2	 -0.013	 -0.014	 00277.bin	
